event_date,location_id,region,process_id,category,planned_units,received_units,executed_units,planned_time,actual_time
2026-02-02,LOC001,North,P001,Standard,100,95,90,200,210
2026-02-02,LOC002,North,P002,Standard,90,92,88,180,185
2026-02-02,LOC003,South,P003,Specialized,110,100,95,220,230

2026-02-09,LOC001,North,P004,Standard,100,85,80,200,220
2026-02-09,LOC002,North,P005,Expedited,95,110,100,190,210
2026-02-09,LOC003,South,P006,Specialized,120,115,100,240,260

2026-02-16,LOC001,North,P007,Standard,105,100,98,210,215
2026-02-16,LOC002,North,P008,Expedited,100,120,110,200,230
2026-02-16,LOC003,South,P009,Specialized,115,110,108,230,235

2026-02-23,LOC001,North,P010,Standard,100,70,65,200,240
2026-02-23,LOC002,North,P011,Expedited,105,130,115,210,260
2026-02-23,LOC003,South,P012,Specialized,120,95,85,240,280

2026-03-02,LOC001,North,P013,Standard,100,98,96,200,205
2026-03-02,LOC002,North,P014,Standard,95,90,88,190,195
2026-03-02,LOC003,South,P015,Specialized,110,105,100,220,225

2026-03-09,LOC001,North,P016,Standard,100,85,80,200,220
2026-03-09,LOC002,North,P017,Expedited,100,130,115,200,250
2026-03-09,LOC003,South,P018,Specialized,115,100,90,230,260

2026-03-16,LOC001,North,P019,Standard,105,100,95,210,215
2026-03-16,LOC002,North,P020,Expedited,110,120,100,220,240
2026-03-16,LOC003,South,P021,Specialized,120,110,105,240,250

2026-03-23,LOC001,North,P022,Standard,100,98,97,200,205
2026-03-23,LOC002,North,P023,Standard,95,100,92,190,200
2026-03-23,LOC003,South,P024,Specialized,110,105,100,220,225

2026-03-30,LOC001,North,P025,Standard,100,75,70,200,230
2026-03-30,LOC002,North,P026,Expedited,105,140,120,210,270
2026-03-30,LOC003,South,P027,Specialized,120,90,80,240,290
